University,Undergrad enrollment,Province
University of Toronto,65600,Ontario
York University,42900,Ontario
University of British Columbia,38417,British Columbia
University of Waterloo,33100,Ontario
University of Ottawa,31700,Ontario
University of Alberta,29814,Alberta
McMaster University,28900,Ontario
University of Calgary,26182,Alberta
Universite de Montreal,25689,Quebec
McGill University,23907,Quebec
University of Manitoba,22456,Manitoba
Universite Laval,22155,Quebec
Queen's University,21400,Ontario
Concordia University,21278,Quebec
University of Saskatchewan,16805,Saskatchewan
University of Victoria,14631,British Columbia
Dalhousie University,13615,Nova Scotia
Simon Fraser,12919,British Columbia
McEwan University,12693,Alberta
Universite du Sherbrooke,11973,Quebec
University of Regina,9822,Saskatchewan
Thompson Rivers University,8317,British Columbia
University of Lethbridge,7649,Alberta
University of Winnipeg,7542,Manitoba
Saint Mary's University,5474,Nova Scotia
